,Full_name,Subtitle,Price
8,Size 8 - Nike Dunk SP 2020 High Iowa - New Shoes - Damaged box - Extra Laces,Brand New · Nike,145
25,Men's Air Jordan 1 Retro Low OG White/University Red-White (CZ0790 161),Brand New · Jordan · Air Jordan,126
20,NEW MENS NIKE OFF WHITE X AIR FORCE 1 MID SP LEATHER MAIZE YELLOW ATHLETIC SHOES,Brand New · Nike · Nike Air Force,120
18,[DV0822-100] Mens Nike DUNK HIGH RETRO PRM 'CRACKED LEATHER SWOOSH',Brand New · Nike · Nike Dunk High,115
21,MENS NIKE DUNK LOW_VARSITY RED/SILVER-WHITE FQ6965-600-SIZE 9M /10.5W,Brand New · Nike · Nike Dunk,115
24,[DV0831-104] Mens Nike DUNK LOW 'WHITE HYPER ROYAL' Size 13 Men’s - Original Box,Brand New · Nike · Nike Dunk,115
9,NEW MENS NIKE OFF WHITE X AIR FORCE 1 MID SP LEATHER MAIZE YELLOW ATHLETIC SHOES,Brand New · Nike · Nike Air Force,114
6,Nike x Off-White Air Force 1 Mid SP Leather Varsity Maize - Size 11 Mens,New (Other) · Nike · Air Force One,108
4,Nike Air Jordan 1 Low Retro OG White University Red CZ0790-161 Men’s 8.5,Brand New · Nike · Air Jordan,105
26,Nike Air Max Excee - Black / Dark Grey New In Box - 11.5 Mens,Brand New · Nike · Nike Air Max,100
5,Nike Terminator Low Shoes Men's Size 10 $120 White/University Blue FQ8748-412,Brand New · Nike · Nike Terminator,97
12,Nike Terminator Low - University Blue/White - FQ8748-412 - Men's size 11 - New,Brand New,95
19,Nike Air Jordan 1 Low Retro OG White University Red CZ0790-161 Men’s 9.5,New (Other) · Nike · Air Jordan,94
3,JORDAN MENS JUMPMAN TWO TREY BASKETBALL SHOES #DO1925 11W /9.5M,New (Other) · Jordan · Air Jordan,90
2,adidas Hoops 3.0 Classic Vintage Mid Black Gum - Men’s 13,Brand New · adidas · adidas Hoops,90
28,New Nike KD Trey 5 X Size 10.5 White Grey Black DD9538-009 KEVIN Durant Zoom Air,Brand New,90
11,Size 13 Men Nike KD Trey 5 X Grey White Basketball Shoes DD9538 009 New No Box,Brand New,85
7,"*NEW* Men Nike Air Flight Lite Mid Dust / Black (FJ2949 001 ), Sz 11",Brand New · Nike · Nike Air,80
13,NIKE AIR JORDAN LUKA 2 TRICK SHOT MEN'S SHOES WHITE GREEN DX8733-103 size 9,Brand New · Nike,75
17,"Jordan Men's Luka 2 ""Trick Shot"" White/Green Basketball Shoes DX8733-103",Brand New · Jordan,75
22,Nike Roshe One Bamboo Turf Green Deep Volt 511881-307 sz 13 Men's,Brand New · Nike · Nike Roshe,75
23,Adidas Originals x Sean Wotherpoon HW Adilette - Hot Wheels - Slides- Size 12,Brand New · adidas · adidas Adilette,75
14,NIB MEN NIKE FV0400 001 LEBRON WITNESS VIII FAZE BASKETBALL 9.5,Brand New · Nike · LeBron James,75
16,Nike Air Max SYSTM White Volt Sneakers Athletic Shoes DM9537-100 Men Size 9 NEW,New (Other) · Nike · Nike Air Max,73
15,Nike Blazer Mid '77 EMB Sneaker Size 9 - New No Box,New (Other) · Nike · Nike Blazer,68
10,Adidas Forum Low x Bart Simpsons Tie Dye Sneakers GZ1777 NEW no box - 5K,New (Other) · adidas · adidas Forum,45
27,Nike Alpha Menace 3 Shark Men's Football Cleats - Size 12,New (Other) · Nike · Nike Alpha,45
0,Shop on eBay,Brand New,20
1,Shop on eBay,Brand New,20
